-384.489,-247.866,1072.974,74.000,104.000,94.000,72.019
-384.422,-248.085,1073.970,74.000,105.000,96.000,35.024
-383.487,-247.741,1072.539,72.000,103.000,93.000,70.066
-383.586,-248.069,1074.002,74.000,105.000,95.000,34.756
-382.702,-247.759,1072.714,75.000,105.000,95.000,71.855
-382.861,-248.123,1074.342,79.000,109.000,99.000,35.577
-381.977,-247.813,1073.050,74.000,103.000,93.000,75.733
-382.013,-248.099,1074.341,76.000,105.000,96.000,34.939
-381.323,-247.914,1073.589,77.000,104.000,95.000,72.306
-381.140,-248.060,1074.265,77.000,104.000,96.000,34.789
-380.276,-247.760,1073.026,77.000,104.000,96.000,74.157
-380.437,-248.130,1074.674,77.000,105.000,96.000,35.231
-379.591,-247.843,1073.478,74.000,103.000,94.000,75.470
-379.378,-247.967,1074.071,76.000,106.000,97.000,35.239
-378.776,-247.839,1073.566,75.000,104.000,95.000,74.798
-378.690,-248.046,1074.518,78.000,107.000,96.000,35.616
-377.873,-247.777,1073.402,76.000,104.000,95.000,74.433
-377.861,-248.036,1074.571,76.000,104.000,97.000,34.709
-377.011,-247.742,1073.353,78.000,105.000,96.000,74.582
-376.990,-247.996,1074.498,78.000,107.000,97.000,36.128
-376.183,-247.732,1073.406,76.000,104.000,94.000,75.145
-376.226,-248.026,1074.734,78.000,106.000,96.000,36.215
-375.406,-247.753,1073.597,78.000,105.000,96.000,76.949
-375.309,-247.956,1074.531,76.000,104.000,95.000,33.937
-374.522,-247.703,1073.486,76.000,105.000,95.000,75.719
-374.700,-248.090,1075.209,77.000,107.000,97.000,35.117
-373.809,-247.767,1073.864,74.000,104.000,94.000,75.480
-373.775,-248.014,1074.983,76.000,104.000,96.000,34.275
-372.875,-247.686,1073.609,79.000,105.000,97.000,77.603
-372.959,-248.010,1075.069,80.000,107.000,98.000,35.039
-372.099,-247.708,1073.807,78.000,105.000,95.000,77.976
-372.077,-247.962,1074.962,80.000,108.000,98.000,34.674
-371.475,-247.831,1074.442,79.000,107.000,96.000,81.408
-371.263,-247.961,1075.053,79.000,107.000,97.000,36.139
